01 USAQUEN
02 CHAPINERO
03 SANTA FE
04 SAN CRISTOBAL
05 USME
06 TUNJUELITO
07 BOSA
08 KENNEDY
09 FONTIBON
10 ENGATIVA
11 SUBA
12 BARRIOS UNIDOS
13 TEUSAQUILLO
14 MARTIRES
15 ANTONIO NARI�O
16 PUENTE ARANDA
17 CANDELARIA
18 RAFAEL URIBE URIB
19 CIUDAD BOLIVAR
20 SUMAPAZ
21 ESPECIAL
